Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
2018,4,10,3,12,29,,,ITALY:  MUCCIA,43.066,13.052,10,4.7,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2018,4,18,6,29,24,,,INDONESIA:  JAVA:  BANJARNEGARA,-7.248,109.654,10,4.5,2,3,1,,,21,1,,2,,,316,3,3,1,,,21,1,,2,,,316,3
2018,4,24,0,34,18,,,TURKEY:  ADIYAMAN,37.596,38.514,10,5.2,,,,,,39,1,,1,,,,1,,,,,39,1,,1,,,,1
2018,5,2,4,8,4,,,IRAN:  KOHGILUYEH AND BOYER-AHMAD: SISAKHT,30.705,51.49,8,5.3,,,,,,133,3,,2,,,,1,,,,,133,3,,2,,,,1
2018,5,3,11,17,,,,SOUTH AFRICA:  WEST RAND,-26.4,27.5,,2.1,,7,1,,,6,1,,,,,,,7,1,,,6,1,,,,,,
2018,5,4,22,32,37,5678,6864,HAWAIIAN ISLANDS: PUNA DISTRICT,19.313,-154.998,2,6.9,,,,,,,,,1,,,,,,,,,1,1,370,4,716,3,,
2018,5,5,8,58,5,,,POLAND:  SILESIAN:  JASTRZEBIE-ZDROJ,50.124,18.683,1,4.1,,5,1,,,2,1,,1,,,,,5,1,,,2,1,,1,,,,
2018,5,6,6,3,33,5796,7541,JAPAN:  HONSHU:  S. OF,31.444,140.193,10,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5,6,19,2,36,,,"EL SALVADOR:  LA UNION, SAN MIGUEL",13.104,-88.062,10,5.4,,,,,,1,1,,2,11,1,298,3,,,,,1,1,,2,11,1,298,3
2018,5,9,10,42,31,,,AFGHANISTAN: TAKHAR;  PAKISTAN,36.994,71.382,116,6.2,,,,,,13,1,,1,,1,45,1,,,,,13,1,,1,,1,45,1
2018,5,15,15,49,34,,,COMOROS:  MAYOTTE,-12.776,45.581,17,5.9,,,,,,3,1,,1,,,,1,,,,,3,1,,1,,,,1
2018,5,27,17,51,1,,,CHINA:  JILIN PROVINCE:  NINGJIANG,45.236,124.642,10,5.3,,,,,,,,,3,,,10000,4,,,,,,,,3,,,10000,4
2018,6,5,18,40,2,,,AZERBAIJAN: SHAKI-ZAQATALA,41.526,46.786,22,5.3,,1,1,,,31,1,,1,,,,2,1,1,,,31,1,,1,,,,2
2018,6,12,9,35,48,,,COLOMBIA:  PASTO,1.067,-77.272,11,4.9,,2,1,,,7,1,,2,1,1,,3,2,1,,,7,1,,2,1,1,,3
2018,6,13,13,6,44,,,"INDONESIA:  MADURA ISLAND, JAVA",-7.001,113.888,10,4.6,,,,,,6,1,,2,,,77,2,,,,,6,1,,2,,,77,2
2018,6,17,22,59,17,,,JAPAN:  OSAKA,34.825,135.639,10,5.5,,5,1,,,417,3,7000,4,,,6766,4,5,1,,,417,3,7000,4,,,6766,4
2018,7,21,7,58,0,,,INDONESIA: SUMATRA: SOLOK,-0.969,100.769,10,5.2,,1,1,,,2,1,,2,2,1,,3,1,1,,,2,2,,1,2,1,,3
2018,7,22,10,7,22,,,IRAN:  KERMANSHAH,34.591,46.166,12,5.8,,,,,,287,3,,2,,,951,3,,,,,287,3,,2,,,951,3
2018,7,28,22,48,14,5778,,INDONESIA:  LOMBOK ISLAND,-8.24,116.508,14,6.4,,17,1,,,355,3,,3,5448,4,,3,17,1,,,355,3,,3,5448,4,,3
2018,8,5,11,47,3,5685,,INDONESIA:  LOMBOK ISLAND,-8.258,116.438,34,6.9,,560,3,,,7733,4,509,4,,3,83392,4,560,3,,,7733,4,509,4,,3,83392,4
2018,8,9,5,25,38,,,INDONESIA:  LOMBOK ISLAND,-8.307,116.23,15,5.9,,6,1,,,24,1,,2,,,,3,6,1,,,24,1,,2,,,,3
2018,8,12,17,44,34,,,CHINA:   YUNNAN PROVINCE:  YUXI,24.298,102.91,10,5,,,,,,24,1,,2,,,8000,4,,,,,24,1,,2,,,8000,4
2018,8,19,0,20,7,5686,,FIJI ISLANDS,-18.113,-178.153,600,8.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018,8,19,4,11,4,5816,,INDONESIA:  LOMBOK ISLAND,-8.337,116.599,16,6.3,,2,1,,,1,1,,2,,,1705,4,2,1,,,1,1,,2,,,1705,4
2018,8,19,14,56,49,,,INDONESIA:  LOMBOK ISLAND,-8.319,116.627,21,6.9,,11,1,,,,1,,2,,,1800,4,11,1,,,,1,,2,,,1800,4
2018,8,21,21,31,6,5687,,VENEZUELA:  SUCRE; TRINIDAD,10.773,-62.902,146,7.3,,5,1,,,,,,2,,,,3,5,1,,,,,,2,,,,3
2018,8,25,22,14,2,,,IRAN:  KERMANSHAH,34.611,46.242,10,6,,2,1,,,267,3,,3,,,2600,4,2,1,,,267,3,,3,,,2600,4
2018,8,29,3,51,1,5688,,NEW CALEDONIA:  LOYALTY ISLANDS,-22.03,170.126,21,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,5,18,7,15,,,JAPAN:  HOKKAIDO,42.686,141.929,35,6.6,7,44,1,,,660,3,2000,4,,3,15000,4,44,1,,,660,3,2000,4,,3,15000,4
2018,9,6,15,50,11,,,FIJI ISLANDS,-18.474,179.35,670,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,7,6,24,6,,,IRAN:  KERMAN,28.326,59.32,10,5.6,,1,1,,,2,1,,1,,,,1,1,1,,,2,1,,1,,,,1
2018,9,8,2,32,14,,,CHINA: YUNNAN PROVINCE:  MOJIANG HANI,23.332,101.578,8,5.7,,,,,,28,1,,3,,,29000,4,,,,,28,1,,3,,,29000,4
2018,9,12,4,50,57,,,INDIA:  WEST BENGAL,26.371,90.161,10,5.3,,1,1,,,,,,,,,,,1,1,,,,,,,,,,
2018,9,28,7,0,14,,,INDONESIA:  SULAWESI,-0.401,119.771,4,6.1,,1,1,,,10,1,,1,,1,,1,1,1,,,10,1,,1,,1,,1
2018,9,28,10,2,25,5689,,INDONESIA:  SULAWESI,-0.256,119.846,20,7.5,8,4340,4,667,3,10679,4,1500,4,3673,4,39191,4,4340,4,667,3,10679,4,1500,4,3673,4,39191,4
2018,10,7,0,11,22,,,HAITI: PORT-DEX-PAIX,20.034,-73.013,24,5.9,,18,1,,,580,3,,3,2102,4,15932,4,18,1,,,580,3,,3,2102,4,15932,4
2018,10,10,18,44,28,,,"INDONESIA:  MADURA ISLAND, JAVA",-7.453,114.455,9,6,5,4,1,,,36,1,,1,,,433,3,4,1,,,36,1,,1,,,433,3
2018,10,16,1,3,58,5725,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.743,169.522,17,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
2018,10,25,22,55,3,5690,,"GREECE:  IONIAN SEA:  ZAKYNTHOS, STROFADES",37.52,20.557,14,6.8,,,,,,3,1,,2,,,120,3,,,,,3,1,,2,,,120,3
2018,11,14,23,2,24,,,INDONESIA:  SULAWESI:  MAMASA,-2.907,119.392,14,5.5,,7,1,,,,,,2,8,1,,3,7,1,,,,,,2,8,1,,3
2018,11,25,16,38,23,,,IRAN: KERMANSHAH; IRAQ: KURDISTAN,34.361,45.744,18,6.3,,1,1,,,759,3,,1,,,,1,1,1,,,759,3,,1,,,,1
2018,11,28,14,44,39,,,AFGHANISTAN:  HINDU KUSH:  BAGHLAN,35.808,68.687,22,4.9,,,,,,9,1,,1,,,60,2,,,,,9,1,,1,,,60,2
2018,11,30,17,29,16,,,ALASKA:  ANCHORAGE,61.316,-149.925,54,7,,,,,,117,3,150,4,2,1,1650,4,,,,,117,3,150,4,2,1,1650,4
2018,12,5,4,18,42,5698,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.95,169.427,10,7.5,,,,,,,,,,,,,,,,,,,,,1,,,,1
2018,12,15,20,22,23,,7244,VANUATU ISLANDS: AMBRYM ISLAND,-16.416,168.22,11,5.4,,,,,,,,,2,,,,1,,,,,,,,2,,,,1
2018,12,16,4,47,26,,,CHINA:  SICHUAN:  YIBIN,28.295,105.013,18,5.3,,,,,,17,1,7.255,3,15,1,6145,4,,,,,17,1,7.255,3,15,1,6145,4
2018,12,22,5,38,27,,,MOZAMBIQUE; ZIMBABWE,-20.643,32.803,16,5.6,,,,,,10,1,,2,600,3,,1,,,,,10,1,,2,600,3,,1
2018,12,26,2,19,0,,7284,ITALY:  SICILY:  CATANIA,37.63,15.1,1,5,,,,,,28,1,115,4,15,1,,1,,,,,28,1,115,4,15,1,,1
